time,id,confidence
2022-04-18 22:39:11,1,92
2022-04-18 22:42:26,1,52
2022-04-18 22:42:29,2,80
2022-04-18 22:42:37,2,65
2022-04-18 22:42:54,1,52
2022-04-18 22:43:11,3,51
2022-04-18 22:45:37,1,60
2022-04-18 22:45:48,2,51
2022-04-18 22:46:05,4,63
2022-04-19 09:19:26,1,61
2022-04-19 09:19:30,2,53
2022-04-19 09:24:542,1,52
2022-04-19 09:25:11,2,138
2022-04-19 09:25:33,2,67
22-06-02 10:31:42,1,173
22-06-02 10:31:43,1,155
22-06-02 10:31:46,1,213
22-06-02 10:31:48,1,159
22-06-02 10:31:50,2,299
22-06-02 10:31:52,1,129
22-06-02 10:31:54,2,179
22-06-02 10:31:56,1,110
22-06-02 10:31:58,2,203
22-06-02 10:32:00,1,160
22-06-02 10:32:02,2,85
22-06-02 10:32:02,2,255
22-06-02 10:32:04,1,233
22-06-02 10:37:04,8,185
